Type,Viewership Score,Rank,Days In Top 10
Concert/Perf…,12.0,3.5,1.5
Movie,38.948678667177326,5.635005744925316,5.990425124473382
Stand-Up Comedy,38.58536585365854,5.439024390243903,5.609756097560975
TV Show,172.8540260908682,5.422177237966712,34.95366621682411
